iter	Logloss
0	0.5425495572
1	0.478076488
2	0.4458212204
3	0.4253043147
4	0.4122543314
5	0.4041614756
6	0.3993240646
7	0.3957374747
8	0.3939775321
9	0.3922299664
10	0.3908166448
11	0.3878623436
12	0.3872627637
13	0.386394101
14	0.3859964233
15	0.3848801525
16	0.3838538139
17	0.3825370649
18	0.3819499077
19	0.3812314624
20	0.3802927458
21	0.3797763701
22	0.3796992438
23	0.3794531993
24	0.3792413916
25	0.3790483253
26	0.3785074436
27	0.3782790413
28	0.3781017719
29	0.3771784318
30	0.3769283792
31	0.3768376534
32	0.3748853688
33	0.3740083712
34	0.3733924003
35	0.3722481286
36	0.3720817633
37	0.3714986611
38	0.3711580065
39	0.3709872432
40	0.3708148194
41	0.3706639384
42	0.3705992692
43	0.3702774337
44	0.370031441
45	0.3699182516
46	0.3695824253
47	0.369010914
48	0.3686913305
49	0.3680790093
50	0.3677032451
51	0.3671430033
52	0.3670628626
53	0.3667999239
54	0.3664807875
55	0.3662639994
56	0.366103711
57	0.3658706212
58	0.3658432955
59	0.3656669429
60	0.3655873718
61	0.3654140672
62	0.3652483317
63	0.3652260626
64	0.3651536593
65	0.3651126919
66	0.3649913261
67	0.3647701994
68	0.3646799469
69	0.3644629817
70	0.3641303491
71	0.363992897
72	0.3638581223
73	0.3637625337
74	0.3635790839
75	0.3634514677
76	0.3632418861
77	0.3628802371
78	0.3626912707
79	0.3624819484
80	0.3622059222
81	0.3621541786
82	0.3620737413
83	0.3620112691
84	0.3617533434
85	0.3615497265
86	0.3613784378
87	0.3611081413
88	0.3609906103
89	0.3609204187
90	0.3609111243
91	0.3607514549
92	0.3607231213
93	0.3605988961
94	0.3605711313
95	0.3604798827
96	0.3603874893
97	0.3600547881
98	0.3598047686
99	0.3597180359
