iter	Passed	Remaining
0	149	14804
1	161	7897
2	175	5670
3	184	4420
4	194	3687
5	205	3224
6	214	2849
7	224	2581
8	232	2354
9	241	2177
10	249	2017
11	257	1888
12	264	1771
13	273	1681
14	281	1597
15	290	1525
16	299	1459
17	307	1398
18	315	1344
19	323	1294
20	332	1252
21	341	1210
22	351	1175
23	359	1139
24	368	1106
25	376	1072
26	386	1043
27	394	1014
28	403	986
29	410	958
30	418	931
31	425	904
32	434	882
33	444	862
34	451	839
35	459	817
36	467	795
37	474	774
38	482	755
39	489	734
40	498	717
41	505	698
42	513	680
43	520	662
44	529	646
45	536	630
46	544	614
47	552	598
48	559	582
49	567	567
50	575	552
51	582	537
52	589	523
53	597	508
54	606	495
55	613	482
56	621	468
57	629	455
58	636	442
59	644	429
60	651	416
61	659	404
62	666	391
63	674	379
64	682	367
65	689	355
66	696	343
67	704	331
68	713	320
69	721	309
70	728	297
71	736	286
72	743	275
73	751	263
74	758	252
75	766	241
76	774	231
77	782	220
78	790	210
79	798	199
80	806	189
81	813	178
82	821	168
83	829	157
84	837	147
85	844	137
86	852	127
87	860	117
88	868	107
89	876	97
90	883	87
91	890	77
92	898	67
93	906	57
94	913	48
95	921	38
96	929	28
97	937	19
98	945	9
99	952	0
